Start,Mean,Group,Summary
1343050170,1343385818,0,So excited for tennis to start at the Olympics!! #olympics #london #tennis
1343413262,1343460310,1,i went to school with christina mchale though and now shes playing tennis at the #olympics. i fail.
1343500037,1343504057,2,RT @BBCWorld: Neda Shahsavari becomes first woman to represent #Iran at table tennis at Olympics - #London2012 in pictures ...
1343507647,1343510292,3,#nw table tennis #london2012
1343512868,1343514406,4,Switching channels ... Watching tennis (Federer) ; men's cycling ; women's soccer... #London2012 #Olympics Tennis is most exciting...âš½ðŸŽ¾ðŸŠ
1343516221,1343516913,5,RT @lehmo23: Why isn't the tennis on anywhere? Stosur 5 all in the 3rd set #london2012 #tennis
1343517603,1343518580,6,Table tennis a sport? #Olympics
1343519521,1343520749,7,I'm watching tennis tho. #Olympics2012
1343522166,1343522454,8,Table tennis in the #Olympics is crazzyyy
1343522707,1343525476,9,The table tennis action never disappoints #London2012
1343528048,1343528588,10,Table tennis #Olympics #USA ðŸ‡ºðŸ‡¸
1343529061,1343529684,11,How is table tennis a sport? #Olympics
1343530321,1343534706,12,#London2012 table tennis
1343539925,1343559357,13,RT @BBCNews: Neda Shahsavari becomes first woman to represent #Iran at table tennis at Olympics - #London2012 in pictures ...
1343583434,1343589375,14,@Destiniquee_x: Welp..I guess I'm up for now. Why not watch tennis ðŸŽ¾ #olympics
1343594942,1343596598,15,just heard that Jean-Michel Saive lost to Kreanga in the table tennis. Shame. (I have a table tennis ball signed by Saive.) #Olympics
1343598068,1343607787,16,Cory Stella collecting the tennis balls #Olympics
1343616855,1343621020,17,RT @SShirazii: Congrats to Noshad Alamian for winning his second table tennis match! #Iran #Olympics #London2012
1343626871,1343627243,18,Table tennis go in! #olympics #SClife
1343627585,1343628200,19,This table tennis is NUTS! #olympics
1343628841,1343646140,20,RT @AsianInvasion34: I'm confused as to why the #Olympics can have badmittion and table tennis but not softball.. like seriously.
1343671219,1343679351,21,Watching table tennis #Olympics #hilarious
1343686390,1343686757,22,RT @ATPWorldTour: #Federer requires 58 minutes to beat #Benneteau 62 62 at the @OlympicsTennis for a 3rd RD berth. #atp #tennis #olympics
1343687162,1343694456,23,RT @Sports_NDTV: #London2012: Mahesh Bhupathi and Rohan Bopanna win their opening doubles clash 7-6; 6-7; 8-6. #tennis
1343702166,1343706039,24,Table tennis #olympics
1343712002,1343712989,25,Loving mens table tennis #olympics
1343714179,1343740445,26,RT @mrbrown: #ohsnap #London2012 RT @frhn: So I heard at the Olympics yesterday; Singapore faced Germany in table-tennis and China won.
1343761746,1343771101,27,RT @fakeSGP: Our table tennis player; Feng Tian Wei is into the semi finals! As her initials suggest... FTW!! #forTheWin #olympics
1343810727,1343833598,28,RT @Formosports: #Taiwanese table tennis player Chuang Chih-yuan. #Taiwan #TPE #olympics #tabletennis
1343849830,1343852981,29,WTA tennis London Olympics R3 n12 s11 Ana Ivanovic SRB v n36 Kim Clijsters BEL 1-4 #WTA #tennis @OlympicsTennis #London2012
1343856002,1343859033,30,Feng Tianwei's won #TeamSingapore a Bronze in table tennis at #London2012? Good on her! Let's hope she's more Jing Junjong than Li Jiawei.
1343862365,1343866083,31,MARCOOOOOS #london2012 #tennis
1343870106,1343870289,32,Go Andy! RT @guardian_sport: Andy Murray is through to the quarter-finals of the Olympic tennis after beating Marcos Baghdatis. #london2012
1343870462,1343871129,33,Table tennis is nuts. #Olympics
1343871843,1343876274,34,Watching Maria Sharapova play tennis is one of my favorite things to do #Olympics
1343881625,1343884891,35,#london2012 officials been really poor this evening; womens table tennis final and now mens boxing; reallt poor #unfair #poorofficials
1343890461,1343891403,36,table tennis is fierce! #Olympics
1343892367,1343914224,37,#Tabletennis is dominated by the Chinese and they are the best.. Watching 2 compete is awesome.. Its like the best vs the best.. #Olympics
1343933738,1343940598,38,Made in Germany. #London2012 #tennis
1343946556,1343954057,39,#London2012 Mixed Doubles Tennis Leander Peas/Sania Mirza lead 4-2 in the opening set #Olympics #tennis
1343961365,1343993968,40,Victoria Azarenka VS Serena Williams ; Andy Murray VS Novak Djokovic for semifinals. I can't be more thrilled. #olympics2012 #tennis
1344023761,1344028839,41,Watching Federer at #Olympics with Bill Gates; but Gates is there. #tennis
1344032761,1344033218,42,Federer vs Del Potro: 9-9. #tennis #london2012
1344033662,1344033724,43,Del Potro breaks Federer back! It's 10-10 in the third set! #tennis #London2012
1344033781,1344034722,44,RT @WTA: Russiaâ€™s Maria Sharapova advances to her 1st career #Olympics final with a 62 63 win over Maria Kirilenko! #tennis ...
1344035701,1344036726,45,Federer and Del Potro are in a battle! #Olympics2012 #tennis
1344037741,1344037762,46,Match point for Federer!! Ah come on! #Olympics #tennis
1344037801,1344037878,47,RT @ATPWorldTour: #Federer battles past @delPotroJuan 36 76(5) 19-17 to reach the Gold Medal match at the @OlympicsTennis. #atp #tennis ...
1344037921,1344037948,48,RT @ATPWorldTour: #Federer battles past @delPotroJuan 36 76(5) 19-17 to reach the Gold Medal match at the @OlympicsTennis. #atp #tennis ...
1344037981,1344038008,49,RT @ATPWorldTour: #Federer battles past @delPotroJuan 36 76(5) 19-17 to reach the Gold Medal match at the @OlympicsTennis. #atp #tennis ...
1344038041,1344038091,50,RT @ATPWorldTour: #Federer battles past @delPotroJuan 36 76(5) 19-17 to reach the Gold Medal match at the @OlympicsTennis. #atp #tennis ...
1344038161,1344038268,51,RT @BBCWorld: Roger Federer wins final set 19-17 to beat Juan Martin del Potro and enter men's tennis final #Olympics
1344038403,1344038725,52,RT @BBCNews: Roger Federer wins final set 19-17 to beat Juan Martin del Potro and enter men's tennis final #Olympics
1344039241,1344043147,53,RT @NBCNews: Roger Federer wins longest-ever #Olympics tennis match to reach final @NBCOlympics
1344047103,1344047167,54,First set Murray! #tennis #olympics
1344047221,1344048948,55,Djokovic over Murray; any day. #tennis #London2012
1344050761,1344050835,56,Stonking tennis on Centre Court. Come on Murray! #olympics
1344050881,1344051007,57,Murray has match points... #olympics #tennis
1344051061,1344051096,58,RT @BBCBreaking: Britain's Andy Murray through to Olympic tennis final after beating Novak Djokovic 7-5 7-5 at Wimbledon ...
1344051121,1344051149,59,RT @BBCBreaking: Britain's Andy Murray through to Olympic tennis final after beating Novak Djokovic 7-5 7-5 at Wimbledon ...
1344051182,1344051207,60,RT @BBCBreaking: Britain's Andy Murray through to Olympic tennis final after beating Novak Djokovic 7-5 7-5 at Wimbledon ...
1344051241,1344051291,61,RT @BBCBreaking: Britain's Andy Murray through to Olympic tennis final after beating Novak Djokovic 7-5 7-5 at Wimbledon ...
1344051361,1344051517,62,RT @BBCBreaking: Britain's Andy Murray through to Olympic tennis final after beating Novak Djokovic 7-5 7-5 at Wimbledon ...
1344051721,1344052303,63,Britain's Andy Murray through to Olympic tennis final after beating Novak Djokovic 7-5 7-5 at Wimbledon #London2012
1344053162,1344055162,64,RT @BBCBreaking: Britain's Andy Murray through to Olympic tennis final after beating Novak Djokovic 7-5 7-5 at Wimbledon ...
1344058236,1344089454,65,Via @DaveGorman: Murray beats Djokovic. Into the final. Playing Federer for Gold or Silver. #tennis #Olympics...c'mon Scotland!!
1344113767,1344114357,66,Maria Sharapova vs. Serena Williams #london2012 #tennis
1344114842,1344115824,67,Maria Sharapova... Shhh. #Olympics #tennis
1344116882,1344117320,68,RT @WTA: .@SerenaWilliams storms through the opening set against Maria Sharapova 60. #Olympics #tennis
1344117781,1344118277,69,Serena Williams!!! #tennis #olympics
1344118743,1344118775,70,Serena has this! #tennis #olympics
1344118862,1344118964,71,Serena Williams wins gold in singles #Olympics2012 #tennis
1344119041,1344119338,72,RT @cnnbrk: #Olympics Result: Serena Williams of U.S. wins gold medal in womenâ€™s singles tennis; defeating Russian Maria Sharapova. ...
1344119701,1344119866,73,RT @cnnbrk: #Olympics Result: Serena Williams of U.S. wins gold medal in womenâ€™s singles tennis; defeating Russian Maria Sharapova. ...
1344120062,1344120626,74,RT @cnnbrk: #Olympics Result: Serena Williams of U.S. wins gold medal in womenâ€™s singles tennis; defeating Russian Maria Sharapova. ...
1344121263,1344124057,75,RT @PhaedraParks: Congratulations to Serena Williams for winning gold in women's singles!!! #Olympics #tennis
1344126722,1344126757,76,RT @WTA: Russiaâ€™s Maria Sharapova with the Silver! Photo Credit: GETTY #Olympics #tennis
1344126782,1344126817,77,RT @WTA: Russiaâ€™s Maria Sharapova with the Silver! Photo Credit: GETTY #Olympics #tennis
1344126841,1344127012,78,Murray and Robson AMAZING!!!! #tennis #london2012
1344127201,1344127783,79,RT @YahooSports: #USA's Mike and Bob Bryan win gold in men's #tennis doubles. #London2012 #Olympics -->
1344128581,1344131897,80,RT @cnnbrk: #Olympics Result: Mike and Bob Bryan of U.S. win gold medal in doubles tennis; defeating French team.
1344136201,1344159436,81,!!!! RT @WTA: USAâ€™s @SerenaWilliams with the Gold! Photo Credit: GETTY #Olympics #tennis
1344192405,1344196160,82,Mixed doubles tennis final at 4! #NotOneToBeMissed #London2012 #TeamGB
1344199571,1344200278,83,RT @NBCSports: Venus and Serena Williams win #Olympics tennis doubles gold medal.
1344200944,1344201391,84,RT @NBCSports: Venus and Serena Williams win #Olympics tennis doubles gold medal.
1344201784,1344202394,85,Watching the tennis - come on Murray! #TeamGB #GOLD #London2012
1344203043,1344203385,86,Murray's on fire! Can he do it? #gold #Olympics #tennis *everything crossed*
1344203701,1344203740,87,Whoop! First set to Murray! #tennis #London2012
1344203761,1344203931,88,Great first set from Murray. 6-2. Never write off Federer though. #Olympics #tennis #gold
1344204181,1344204208,89,Murray is on form! #olympics #tennis
1344204241,1344204660,90,The tennis is so intense! Come on Murray! #tennis #teamgb #olympics
1344205141,1344205190,91,Come on Murray! #tennis #olympics
1344205201,1344205339,92,Murray is on fire! #olympics #london2012 #tennis
1344205561,1344205865,93,Come on Murray! #olympics #tennis
1344206161,1344206265,94,Lol... Andy Murray and his fiancÃ© in cartoon form... RT @danwri @ian_mannly #tennis #olympics2012 #london2012
1344206401,1344206556,95,Let's go; Murray!! #Olympics2012 #tennis
1344206701,1344206965,96,RT @nytimes: Watching the #London2012 tennis match? Murray is up 6-2; 6-1 over Federer. We're live-tweeting the match on @LondonLive. Fo ...
1344207301,1344207423,97,Come on Murray!!! #london2012 #tennis
1344207541,1344207678,98,Murray!!! #olympics #tennis
1344207781,1344207918,99,I do like Federer though and he is playing some great tennis now #tennis #olympics
1344208081,1344208230,100,This is it now Murray #olympics #tennis
1344208381,1344213322,101,RT @CityNews: #BREAKING: Andy Murray beats Roger Federer to win gold medal in men's singles tennis #London2012
1344244757,1344256614,102,RT @nbcbayarea: #OLYMPICS: Make sure to find out what the Williams sisters' did at the Olympics. #tennis
1344269688,1344269731,103,RT @Olympics: Good morning! Wanted to share an amazing shot from yesterday's #tennis match #olympics
1344269761,1344270068,104,RT @Olympics: Good morning! Wanted to share an amazing shot from yesterday's #tennis match #olympics
1344270606,1344285952,105,RT @Olympics: Good morning! Wanted to share an amazing shot from yesterday's #tennis match #olympics
1344303021,1344384394,106,on the other note; congrats singapore table tennis team for the bronze! #teamsingapore #london2012
1344465467,1344470927,107,Table tennis #Olympics2012 #Amazing
1344475157,1344516423,108,I feel table tennis is interesting in #Olympics. Track event too though ! #Bolt !
1344583827,1344583982,109,RT @AlanHungover: That awkward moment when your parents think you're watching porn but it's just women's tennis. #London2012
1344584287,1344584287,110,RT @AlanHungover: That awkward moment when your parents think you're watching porn but it's just women's tennis. #London2012
